,file_name,bbox,license_plate.id,license_plate.visibility,license_plate.rows_count,license_plate.number,license_plate.serial,license_plate.country,license_plate.color,license_plate.mask
23536,179589120.jpg,"[0.625, 0.7125, 0.7265625, 0.8625]",8a6e2da6-fee8-46b6-a6e7-39cdfea1ce90,fully_visible_no_text,,,,United Arab Emirates,,"[0.653125, 0.7763888888888889, 0.65390625, 0.7875, 0.68125, 0.7888888888888889, 0.68203125, 0.7777777777777778]"
23544,31733760.jpg,"[0.32109375, 0.3888888888888889, 0.4203125, 0.45555555555555555]",48228349-7780-47e1-8f62-87c6aae7ec60,invisible,,,,United Arab Emirates,,
24507,17172480.jpg,"[0.17421875, 0.5111111111111111, 0.30859375, 0.6902777777777778]",4df6dff9-7a3d-4c9e-acfb-38859d83bdb4,fully_visible_no_text,,,,United Arab Emirates,,"[0.20859375, 0.5819444444444445, 0.209375, 0.5972222222222222, 0.2390625, 0.5958333333333333, 0.2390625, 0.5819444444444445]"
25050,1689600.jpg,"[0.15703125, 0.5234375, 0.24453125, 0.5953125]",2a365f73-316b-4c62-8948-870844beff15,invisible,,,,United Arab Emirates,,
25110,31365120.jpg,"[0.7390625, 0.6597222222222222, 0.80703125, 0.7458333333333333]",2ebdc98d-18bb-4d1d-b25f-d5baf1f89887,invisible,,,,United Arab Emirates,,
25190,31365120.jpg,"[0.44765625, 0.8194444444444444, 0.54140625, 0.9569444444444445]",3afb6b65-5f45-4a05-88d3-1d502791b3b0,fully_visible_no_text,,,,United Arab Emirates,,"[0.48359375, 0.8763888888888889, 0.51015625, 0.8777777777777778, 0.509375, 0.8875, 0.484375, 0.8861111111111111]"
25728,34283520.jpg,"[0.9515625, 0.8680555555555556, 0.99921875, 0.9958333333333333]",42643309-7089-4a59-9597-bef23441a47e,invisible,,,,United Arab Emirates,,
25731,34283520.jpg,"[0.06328125, 0.6958333333333333, 0.20234375, 0.7680555555555556]",42366073-b32a-4418-8ad6-a3d1681219ce,invisible,,,,United Arab Emirates,,
26548,1689600.jpg,"[0.48671875, 0.6805555555555556, 0.5421875, 0.7861111111111111]",befa4f4e-bb91-4959-bc31-0790ed1a9c4f,fully_visible_no_text,,,,United Arab Emirates,,"[0.4984375, 0.7430555555555556, 0.5109375, 0.7430555555555556, 0.5109375, 0.75, 0.49921875, 0.75]"
27069,34283520.jpg,"[0.1171875, 0.8652777777777778, 0.33828125, 1.0]",9f28dcc2-8689-46ef-bf8d-6724ce138465,invisible,,,,United Arab Emirates,,
27255,31733760.jpg,"[0.48203125, 0.6333333333333333, 0.56171875, 0.7333333333333333]",808ed8e1-c328-460c-b36b-0d885f1b9274,fully_visible_no_text,,,,United Arab Emirates,,"[0.5234375, 0.7027777777777777, 0.5390625, 0.7027777777777777, 0.5390625, 0.7138888888888889, 0.5234375, 0.7138888888888889]"
27375,31733760.jpg,"[0.27578125, 0.4791666666666667, 0.34453125, 0.5666666666666667]",30d73fd4-0fe4-4a18-ad8d-69adb7d9cc60,fully_visible_no_text,,,,United Arab Emirates,,"[0.2890625, 0.5263888888888889, 0.30390625, 0.5263888888888889, 0.30390625, 0.5347222222222222, 0.28828125, 0.5333333333333333]"
27753,17172480.jpg,"[0.6390625, 0.5680555555555555, 0.7390625, 0.625]",ea43ced5-3018-41ff-9c27-89c31b74d7dd,invisible,,,,United Arab Emirates,,
27896,31733760.jpg,"[0.8953125, 0.7319444444444444, 0.99453125, 1.0]",18e314f3-d61e-4fea-b66c-26ecbfe3d051,invisible,,,,United Arab Emirates,,
29285,11460449.jpg,"[0.66875, 0.475, 0.81328125, 0.7263888888888889]",d333c452-3339-46f3-8a36-b46ab0926470,fully_visible_no_text,,,,United Arab Emirates,,"[0.7453125, 0.6625, 0.746875, 0.6833333333333333, 0.76953125, 0.6861111111111111, 0.76875, 0.6638888888888889]"
30139,34283520.jpg,"[0.15859375, 0.6319444444444444, 0.23671875, 0.7361111111111112]",a60c7e16-692a-415e-94a6-e5f26022d3f6,fully_visible_no_text,,,,United Arab Emirates,,"[0.18671875, 0.6847222222222222, 0.18671875, 0.6916666666666667, 0.17265625, 0.6916666666666667, 0.1734375, 0.6847222222222222]"
31374,11460449.jpg,"[0.81796875, 0.6888888888888889, 0.9984375, 0.8333333333333334]",ec70b1ba-d34a-4a21-ae97-aca9b10bf35f,fully_visible_no_text,,,,United Arab Emirates,,"[0.96328125, 0.7527777777777778, 0.99453125, 0.7513888888888889, 0.99453125, 0.7625, 0.9640625, 0.7652777777777777]"
31645,17172480.jpg,"[0.56484375, 0.6333333333333333, 0.63515625, 0.7166666666666667]",020d824b-9a57-41e5-94de-209221f6a7e9,fully_visible_no_text,,,,United Arab Emirates,,"[0.609375, 0.675, 0.61015625, 0.6805555555555556, 0.62109375, 0.6805555555555556, 0.62109375, 0.6736111111111112]"
32311,34283520.jpg,"[0.03125, 0.7041666666666667, 0.22109375, 0.9513888888888888]",e04a9e91-7210-4cea-86ac-e206e2974b27,fully_visible_no_text,,,,United Arab Emirates,,"[0.06953125, 0.8263888888888888, 0.08828125, 0.8263888888888888, 0.08828125, 0.85, 0.0703125, 0.8472222222222222]"
32499,31365120.jpg,"[0.3078125, 0.8152777777777778, 0.40859375, 0.9361111111111111]",bcc5b674-f069-4b13-af98-032871c06ce3,fully_visible_no_text,,,,United Arab Emirates,,"[0.32890625, 0.8638888888888889, 0.32890625, 0.8722222222222222, 0.34609375, 0.8722222222222222, 0.34609375, 0.8666666666666667]"
32648,1689600.jpg,"[0.3859375, 0.6640625, 0.45390625, 0.7703125]",96e3ffdd-393d-4770-8d83-3e8eb41fa9f8,fully_visible_no_text,,,,United Arab Emirates,,"[0.409375, 0.709375, 0.409375, 0.7203125, 0.4203125, 0.721875, 0.4203125, 0.709375]"
32731,31365120.jpg,"[0.50078125, 0.2638888888888889, 0.8375, 0.6152777777777778]",36cc022f-d177-413e-b3a9-dcecd5118035,invisible,,,,United Arab Emirates,,
32890,34283520.jpg,"[0.00078125, 0.7027777777777777, 0.059375, 0.8416666666666667]",bd9aa161-d576-428d-8c89-aed38dbc3965,invisible,,,,United Arab Emirates,,
33003,31365120.jpg,"[0.02734375, 0.7111111111111111, 0.32578125, 0.9208333333333333]",4e30d55a-e378-4573-b2c4-3d298ef5e778,invisible,,,,United Arab Emirates,,
33766,1689600.jpg,"[0.321875, 0.5875, 0.40625, 0.6916666666666667]",db8d55f9-e75e-41fb-9697-5225112d53c0,fully_visible_no_text,,,,United Arab Emirates,,"[0.3484375, 0.6277777777777778, 0.36015625, 0.6277777777777778, 0.359375, 0.6375, 0.34765625, 0.6375]"
34382,17172480.jpg,"[0.14375, 0.7166666666666667, 0.2328125, 0.7833333333333333]",deed5a0b-b5fb-442c-a40d-a5cf4c9f97db,invisible,,,,United Arab Emirates,,
34405,49433600.jpg,"[0.4734375, 0.6527777777777778, 0.56875, 0.8013888888888889]",ad3c043b-f878-40cd-b74f-307addddc49a,fully_visible_no_text,,,,United Arab Emirates,,"[0.51328125, 0.7083333333333334, 0.52890625, 0.7083333333333334, 0.52890625, 0.7208333333333333, 0.51328125, 0.7208333333333333]"
35929,1689600.jpg,"[0.17734375, 0.4930555555555556, 0.51875, 0.75]",fbe87537-3bdf-4d48-bad7-090e2d172d7c,fully_visible_no_text,,,,United Arab Emirates,,"[0.49140625, 0.6902777777777778, 0.50234375, 0.6861111111111111, 0.5015625, 0.7013888888888888, 0.48984375, 0.7055555555555556]"
36683,31733760.jpg,"[0.76015625, 0.4, 0.90546875, 0.4930555555555556]",6f3c24a8-7eb6-43f7-9eb1-1be6cc24926a,invisible,,,,United Arab Emirates,,
37726,1689600.jpg,"[0.6421875, 0.6444444444444445, 0.7796875, 0.8152777777777778]",596b74ff-67a8-46ef-a678-a37148c8dbf9,fully_visible_no_text,,,,United Arab Emirates,,"[0.72109375, 0.7305555555555555, 0.73984375, 0.7291666666666666, 0.73984375, 0.7416666666666667, 0.7203125, 0.7416666666666667]"
38306,1689600.jpg,"[0.94140625, 0.48333333333333334, 0.99765625, 0.6055555555555555]",1f308d8d-3476-4e5e-a216-c20d2406df09,invisible,,,,United Arab Emirates,,
38335,34283520.jpg,"[0.81953125, 0.6638888888888889, 0.98828125, 0.7583333333333333]",55a195c2-37c7-4216-9258-83c1a5202a22,invisible,,,,United Arab Emirates,,
38910,17172480.jpg,"[0.53984375, 0.7027777777777777, 0.61640625, 0.8]",b3a636e3-5ef5-4c71-908f-515e66394833,invisible,,,,United Arab Emirates,,
39350,17172480.jpg,"[0.5515625, 0.75, 0.60625, 0.8833333333333333]",77d6be35-238b-413e-be5e-0857ee843045,fully_visible_no_text,,,,United Arab Emirates,,"[0.584375, 0.8027777777777778, 0.59609375, 0.8041666666666667, 0.59609375, 0.8152777777777778, 0.584375, 0.8152777777777778]"
39502,34283520.jpg,"[0.921875, 0.6083333333333333, 0.99921875, 0.8125]",e03f9799-713b-4fe1-8661-2a6489a5ca00,invisible,,,,United Arab Emirates,,
40328,31365120.jpg,"[0.1265625, 0.7513888888888889, 0.32265625, 0.9]",c1ecbb62-f0a8-4607-803c-30ea485a51e8,invisible,,,,United Arab Emirates,,
40567,1689600.jpg,"[0.628125, 0.4625, 0.70390625, 0.5555555555555556]",c9b32d9b-7784-4785-8e34-29f6010ab75e,fully_visible_no_text,,,,United Arab Emirates,,"[0.66484375, 0.5055555555555555, 0.684375, 0.5055555555555555, 0.684375, 0.5125, 0.66484375, 0.5125]"
40970,34283520.jpg,"[0.28046875, 0.7402777777777778, 0.40234375, 0.9166666666666666]",19cf81f8-6644-4167-b413-01ebe16a4735,fully_visible_no_text,,,,United Arab Emirates,,"[0.31640625, 0.8361111111111111, 0.315625, 0.8527777777777777, 0.33203125, 0.8541666666666666, 0.3328125, 0.8375]"
41288,1689600.jpg,"[0.73125, 0.675, 0.86875, 0.825]",b5953312-53dc-4493-873f-bffcc8fb5ebc,fully_visible_no_text,,,,United Arab Emirates,,"[0.7578125, 0.7680555555555556, 0.7875, 0.7694444444444445, 0.78671875, 0.7833333333333333, 0.75703125, 0.7805555555555556]"
42677,17172480.jpg,"[0.79765625, 0.7888888888888889, 0.99609375, 0.9944444444444445]",1b1f0fed-078c-49c8-a5ec-aff103a046fd,invisible,,,,United Arab Emirates,,
42898,31733760.jpg,"[0.1703125, 0.4736111111111111, 0.29453125, 0.6458333333333334]",5ec0a788-8925-4db7-8328-ae0534ad566b,fully_visible_no_text,,,,United Arab Emirates,,"[0.19296875, 0.5625, 0.19296875, 0.5722222222222222, 0.21328125, 0.5736111111111111, 0.2125, 0.5638888888888889]"
43024,34283520.jpg,"[0.4640625, 0.7166666666666667, 0.5421875, 0.8402777777777778]",367fcf60-34fe-4c57-a302-7f200532a350,fully_visible_no_text,,,,United Arab Emirates,,"[0.4953125, 0.7888888888888889, 0.509375, 0.7888888888888889, 0.50859375, 0.8055555555555556, 0.4953125, 0.8041666666666667]"
43338,31733760.jpg,"[0.35390625, 0.6416666666666667, 0.459375, 0.7958333333333333]",6d26455e-b094-4575-a234-139b2707979b,fully_visible_no_text,,,,United Arab Emirates,,"[0.3875, 0.7527777777777778, 0.3875, 0.7694444444444445, 0.41875, 0.7708333333333334, 0.41875, 0.7541666666666667]"
