,file_name,bbox,license_plate.id,license_plate.visibility,license_plate.rows_count,license_plate.number,license_plate.serial,license_plate.country,license_plate.color,license_plate.mask
21652,167340173.jpg,"[0.48515625, 0.5277777777777778, 0.5875, 0.7083333333333334]",7157f147-7275-4c42-b0ab-025293a9b4a4,fully_visible_no_text,,,,Serbia,,"[0.53828125, 0.6333333333333333, 0.51171875, 0.6305555555555555, 0.5109375, 0.6416666666666667, 0.5375, 0.6444444444444445]"
24011,167340173.jpg,"[0.246875, 0.7013888888888888, 0.375, 0.8541666666666666]",49e901c4-c8d0-43d3-ac97-a9def4cdc54c,fully_visible_no_text,,,,Serbia,,"[0.2703125, 0.775, 0.2953125, 0.7777777777777778, 0.29453125, 0.7902777777777777, 0.2703125, 0.7861111111111111]"
24101,1740739.jpg,"[0.15, 0.55, 0.23203125, 0.6361111111111111]",bea0895b-df75-446e-b8d6-f1b7787662dc,fully_visible_no_text,,,,Serbia,,"[0.1875, 0.625, 0.1984375, 0.625, 0.1984375, 0.6319444444444444, 0.1875, 0.6319444444444444]"
24121,493380888.jpg,"[0.77734375, 0.6902777777777778, 0.87109375, 0.7916666666666666]",43871294-f242-45e5-9c9f-db1854f55015,invisible,,,,Serbia,,
26603,7910400.jpg,"[0.45859375, 0.5236111111111111, 0.5484375, 0.7527777777777778]",c2e4053c-da0a-4803-bf92-72a0606ca597,fully_visible_no_text,,,,Serbia,,"[0.49375, 0.7166666666666667, 0.49375, 0.725, 0.5125, 0.725, 0.5125, 0.7180555555555556]"
29079,167340173.jpg,"[0.0, 0.5, 0.115625, 0.7430555555555556]",62168788-626d-4daa-8da3-4d53bb62788a,invisible,,,,Serbia,,
31669,1740739.jpg,"[0.00625, 0.6208333333333333, 0.07890625, 0.7527777777777778]",08a51a4d-4ea8-40b5-83b7-30bc31f33ac0,invisible,,,,Serbia,,
32240,1740739.jpg,"[0.10234375, 0.6611111111111111, 0.24453125, 0.7708333333333334]",b7b4c939-3b38-4935-8869-b49d53bcbaa0,fully_visible_no_text,,,,Serbia,,"[0.11171875, 0.7291666666666666, 0.1125, 0.7388888888888889, 0.12890625, 0.7416666666666667, 0.12890625, 0.7319444444444444]"
33639,1740739.jpg,"[0.609375, 0.5722222222222222, 0.70546875, 0.6777777777777778]",2c810448-51b2-4f65-877b-15e7778f45b0,fully_visible_no_text,,,,Serbia,,"[0.66875, 0.6375, 0.66875, 0.6430555555555556, 0.6859375, 0.6458333333333334, 0.6859375, 0.6388888888888888]"
34731,1740739.jpg,"[0.1296875, 0.41388888888888886, 0.27109375, 0.5666666666666667]",527aaf82-e3cb-4f10-b148-2e2b435a9f69,fully_visible_no_text,,,,Serbia,,"[0.24375, 0.5388888888888889, 0.26484375, 0.5333333333333333, 0.2640625, 0.5222222222222223, 0.24296875, 0.5263888888888889]"
35523,1740739.jpg,"[0.746875, 0.6055555555555555, 0.99609375, 0.9583333333333334]",96343510-46e3-4f30-b758-10c936dbb02c,invisible,,,,Serbia,,
35693,49797120.jpg,"[0.88359375, 0.5180555555555556, 0.9984375, 0.8833333333333333]",200a28a8-edbe-43a0-a474-3307979e8f4d,invisible,,,,Serbia,,
35750,493380888.jpg,"[0.5765625, 0.5708333333333333, 0.68984375, 0.75]",bfd43729-a9ab-42b2-af77-b01aa7c98655,fully_visible_no_text,,,,Serbia,,"[0.62578125, 0.6597222222222222, 0.62578125, 0.6736111111111112, 0.65859375, 0.6736111111111112, 0.65859375, 0.6583333333333333]"
36624,252660408.jpg,"[0.828125, 0.5902777777777778, 0.9109375, 0.7291666666666666]",370e0e0b-6d70-46b1-86f1-6cb4f36720bd,fully_visible_no_text,,,,Serbia,,"[0.89140625, 0.6902777777777778, 0.89140625, 0.7, 0.86953125, 0.7027777777777777, 0.86953125, 0.6930555555555555]"
37935,1740739.jpg,"[0.428125, 0.6041666666666666, 0.55546875, 0.8361111111111111]",bf781278-1f1f-4dc1-ba67-68656eed67b2,fully_visible_no_text,,,,Serbia,,"[0.4546875, 0.7361111111111112, 0.4890625, 0.7388888888888889, 0.48984375, 0.7208333333333333, 0.45546875, 0.7194444444444444]"
38429,1740739.jpg,"[0.7109375, 0.49027777777777776, 0.9078125, 0.6986111111111111]",5715f953-363f-4588-9cd7-98a198ab5533,invisible,,,,Serbia,,
39791,1740739.jpg,"[0.73828125, 0.5916666666666667, 0.9984375, 0.9402777777777778]",6ef4ac15-fe6d-4c91-b895-932fe243e6c3,invisible,,,,Serbia,,
42030,1740739.jpg,"[0.8171875, 0.49722222222222223, 0.996875, 0.7944444444444444]",3ff3d469-e884-416b-ad85-2ab76683e1ba,fully_visible_no_text,,,,Serbia,,"[0.89921875, 0.6361111111111111, 0.95625, 0.6291666666666667, 0.95625, 0.6541666666666667, 0.89921875, 0.6611111111111111]"
43350,49797120.jpg,"[0.90703125, 0.6055555555555555, 0.9984375, 0.8013888888888889]",5fcfa6b2-0627-4a6c-bb9f-a28595c096da,fully_visible_no_text,,,,Serbia,,"[0.93984375, 0.6888888888888889, 0.97734375, 0.6902777777777778, 0.97734375, 0.7069444444444445, 0.9390625, 0.7069444444444445]"
44396,105300195.jpg,"[0.49765625, 0.5638888888888889, 0.56875, 0.6666666666666666]",99d89e17-b796-406e-b13d-69a51f238055,fully_visible_no_text,,,,Serbia,,"[0.52265625, 0.6055555555555555, 0.54375, 0.6069444444444444, 0.54375, 0.6152777777777778, 0.52265625, 0.6138888888888889]"
44565,167340173.jpg,"[0.653125, 0.5833333333333334, 0.83828125, 0.7944444444444444]",4ebec485-3e60-4a7a-90de-a76a91d6ba74,fully_visible_no_text,,,,Serbia,,"[0.81328125, 0.7416666666666667, 0.7734375, 0.7486111111111111, 0.77265625, 0.7305555555555555, 0.8125, 0.725]"
44795,252660408.jpg,"[0.64921875, 0.5805555555555556, 0.86015625, 0.8125]",8d64445d-40ff-428d-b04b-1ee274834bb4,fully_visible,1.0,_BG_484KX,,Serbia,,"[0.778125, 0.7527777777777778, 0.825, 0.7472222222222222, 0.825, 0.7708333333333334, 0.77890625, 0.7777777777777778]"
47714,1740739.jpg,"[0.0, 0.46944444444444444, 0.14609375, 0.7430555555555556]",1f8e8334-8ac7-40be-80c8-755c190fe6ff,invisible,,,,Serbia,,
48951,167340173.jpg,"[0.02578125, 0.6430555555555556, 0.27421875, 0.9236111111111112]",7cfa6aa6-a469-4d26-851f-68ccd1d78cca,fully_visible_no_text,,,,Serbia,,"[0.046875, 0.7291666666666666, 0.07421875, 0.7458333333333333, 0.07109375, 0.7625, 0.04375, 0.7472222222222222]"
51824,1740739.jpg,"[0.44140625, 0.5652777777777778, 0.509375, 0.6597222222222222]",ecbcccac-cf31-4970-8d12-3d6a934826b6,fully_visible_no_text,,,,Serbia,,"[0.4625, 0.6319444444444444, 0.48046875, 0.6333333333333333, 0.48046875, 0.6263888888888889, 0.4625, 0.6236111111111111]"
53328,1740739.jpg,"[0.08203125, 0.6138888888888889, 0.25234375, 0.7652777777777777]",9b40d774-93d7-4155-b3da-cfc2a7f2f59c,fully_visible_no_text,,,,Serbia,,"[0.23515625, 0.725, 0.24609375, 0.725, 0.246875, 0.7361111111111112, 0.234375, 0.7361111111111112]"
55291,1740739.jpg,"[0.69921875, 0.5652777777777778, 0.99765625, 0.9180555555555555]",1b4cd067-2b87-4998-9fc7-97af48af5a07,invisible,,,,Serbia,,
57182,493380888.jpg,"[0.734375, 0.5736111111111111, 0.996875, 0.9194444444444444]",d9180f17-43bf-48ee-a979-bfb7d4da5beb,invisible,,,,Serbia,,
58926,1740739.jpg,"[0.33046875, 0.5458333333333333, 0.41484375, 0.6541666666666667]",ba40b285-bd56-40bd-9661-08ed590b401a,fully_visible_no_text,,,,Serbia,,"[0.36640625, 0.6208333333333333, 0.36640625, 0.6277777777777778, 0.3484375, 0.6263888888888889, 0.34921875, 0.6194444444444445]"
58949,1740739.jpg,"[0.18203125, 0.4111111111111111, 0.29921875, 0.49027777777777776]",08314eaa-1663-4b84-814c-5937989a5e53,invisible,,,,Serbia,,
60492,1740739.jpg,"[0.38046875, 0.6152777777777778, 0.4890625, 0.6833333333333333]",d91fc409-2a8e-4af0-bf90-4bcae5e9ff05,invisible,,,,Serbia,,
60719,493380888.jpg,"[0.64453125, 0.7291666666666666, 0.765625, 0.8097222222222222]",0db1a3e0-3073-4dc6-b044-639c753ee066,invisible,,,,Serbia,,
63478,7910400.jpg,"[0.33828125, 0.7236111111111111, 0.415625, 0.8152777777777778]",58f350a1-2d7d-4e46-bc38-85985b9b0962,fully_visible_no_text,,,,Serbia,,"[0.35625, 0.7777777777777778, 0.35625, 0.7861111111111111, 0.37421875, 0.7861111111111111, 0.3734375, 0.7791666666666667]"
66801,1740739.jpg,"[0.3125, 0.5930555555555556, 0.43203125, 0.6625]",5d2996d2-1d2e-4944-890c-da45ef39b13d,invisible,,,,Serbia,,
68001,1740739.jpg,"[0.3265625, 0.6555555555555556, 0.4109375, 0.7527777777777778]",869e4abf-4790-4475-b2f8-2f59c34fe624,fully_visible_no_text,,,,Serbia,,"[0.34296875, 0.7180555555555556, 0.34296875, 0.7263888888888889, 0.36015625, 0.7263888888888889, 0.359375, 0.7180555555555556]"
68597,49797120.jpg,"[0.75859375, 0.5708333333333333, 0.859375, 0.6958333333333333]",21d7ad3f-9139-4f19-87eb-31417cefe2ec,fully_visible_no_text,,,,Serbia,,"[0.78046875, 0.6277777777777778, 0.78046875, 0.6361111111111111, 0.803125, 0.6361111111111111, 0.803125, 0.6277777777777778]"
69161,49797120.jpg,"[0.70078125, 0.6277777777777778, 0.8046875, 0.7569444444444444]",e7df9783-b0d1-45c1-888e-f29ee97c1ead,fully_visible_no_text,,,,Serbia,,"[0.72421875, 0.7180555555555556, 0.75, 0.7194444444444444, 0.75, 0.7347222222222223, 0.7234375, 0.7319444444444444]"
72551,7910400.jpg,"[0.8328125, 0.6944444444444444, 0.996875, 0.9055555555555556]",3c54e51a-5f76-40f0-8494-4e55b1aff31d,fully_visible_no_text,,,,Serbia,,"[0.8390625, 0.8194444444444444, 0.86796875, 0.825, 0.86796875, 0.8416666666666667, 0.83984375, 0.8347222222222223]"
74748,399360962.jpg,"[0.246875, 0.5875, 0.39296875, 0.7527777777777778]",2815d3de-9a7f-4ce2-9543-782dea34a0cf,fully_visible_no_text,,,,Serbia,,"[0.27890625, 0.6638888888888889, 0.278125, 0.6777777777777778, 0.3109375, 0.6819444444444445, 0.3109375, 0.6638888888888889]"
75249,252660408.jpg,"[0.83203125, 0.6194444444444445, 0.9984375, 0.9472222222222222]",d05322a7-83a1-4979-97f4-61266d35437f,invisible,,,,Serbia,,
75459,1740739.jpg,"[0.74765625, 0.5916666666666667, 0.8265625, 0.6666666666666666]",929ce232-3967-45c6-a1ed-272bbaf7b362,invisible,,,,Serbia,,
75698,1740739.jpg,"[0.0, 0.6, 0.05625, 0.7958333333333333]",e9089178-1638-4362-a8ad-262413186289,fully_visible_no_text,,,,Serbia,,"[0.0296875, 0.6944444444444444, 0.0296875, 0.7097222222222223, 0.0125, 0.7097222222222223, 0.01328125, 0.6944444444444444]"
76268,1740739.jpg,"[0.625, 0.6222222222222222, 0.77890625, 0.8013888888888889]",e31391b9-1234-4c46-bf17-6c4e985aaeda,fully_visible_no_text,,,,Serbia,,"[0.71953125, 0.7222222222222222, 0.74765625, 0.7166666666666667, 0.7484375, 0.7263888888888889, 0.7203125, 0.7305555555555555]"
